research country/ies in Africa,number of articles
Nigeria,44
Ethiopia,12
Egypt,3
Democratic Republic of the Congo,12
Tanzania,9
South Africa,105
Kenya,26
Uganda,8
Algeria,4
Sudan,1
Morocco,5
Angola,1
Mozambique,4
Ghana,38
Madagascar,1
Cameroon,16
Ivory Coast,14
Niger,3
Burkina Faso,5
Mali,4
Malawi,2
Zambia,2
Senegal,16
Chad,0
Somalia,1
Zimbabwe,4
Guinea,1
Rwanda,10
Benin,25
Burundi,0
Tunisia,0
South Sudan,0
Togo,5
Sierra Leone,1
Libya,0
Republic of Congo,3
Liberia,3
Central African Republic,1
Mauritania,1
Eritrea,0
Namibia,6
Gambia,2
Botswana,4
Gabon,3
Lesotho,1
Guinea Bissau,1
Equatorial Guinea,0
Mauritius,1
Eswatini,1
Djibouti,0
Comoros,0
Cabo Verde,1
Sao Tome & Principe,0
Seychelles,0
